Australian Bureau of Statistics,,,,,,
"cat.no.1292.0.55.005 Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006 - Correspondence Tables",,,,,,
"Table 6. CORRESPONDENCES, ANZSIC 2006 - ISIC Rev. 4",,,,,,
,,,,,,
ANZSIC 2006,,,ISIC Rev. 4,,,
A,"Agriculture, Forestry and Fishing",,,,,
A,Agriculture,,,,,
A,Nursery and Floriculture Production,,,,,
C,,,2399p,Manufacture of other non-metallic mineral products n.e.c.,,
C,Basic Chemical and Chemical Product Manufacturing,,,,,
C,Basic Chemical Manufacturing,,,,,
C,1811,Industrial Gas Manufacturing,1910p,Manufacture of coke oven products,,
C,,,1920p,Manufacture of refined petroleum products,,
C,,,2011p,Manufacture of basic chemicals,,
C,1812,Basic Organic Chemical Manufacturing,1910p,Manufacture of coke oven products,,
C,,,2011p,Manufacture of basic chemicals,,
C,1813,Basic Inorganic Chemical Manufacturing,2011p,Manufacture of basic chemicals,,
C,,,2012p,Manufacture of fertilizers and nitrogen compounds,,
C,,,2100p,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,
C,Basic Polymer Manufacturing,,,,,
C,1821,Synthetic Resin and Synthetic Rubber Manufacturing,2013p,Manufacture of plastics and synthetic rubber in primary forms,,
C,1829,Other Basic Polymer Manufacturing,2013p,Manufacture of plastics and synthetic rubber in primary forms,,
C,,,2030,Manufacture of man-made fibres,,
C,Fertiliser and Pesticide Manufacturing,,,,,
C,1831,Fertiliser Manufacturing,2012p,Manufacture of fertilizers and nitrogen compounds,,
C,,,3821p,Treatment and disposal of non-hazardous waste,,
C,1832,Pesticide Manufacturing,2021,Manufacture of pesticides and other agrochemical products,,
C,Pharmaceutical and Medicinal Product Manufacturing,,,,,
C,1841,Human Pharmaceutical and Medicinal Product Manufacturing,2100p,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,
C,1842,Veterinary Pharmaceutical and Medicinal Product Manufacturing,2100p,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,
C,Cleaning Compound and Toiletry Preparation Manufacturing,,,,,
C,1851,Cleaning Compound Manufacturing,2023p,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,
C,1852,Cosmetic and Toiletry Preparation Manufacturing,2023p,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,
C,Other Basic Chemical Product Manufacturing,,,,,
C,1891,Photographic Chemical Product Manufacturing,2011p,Manufacture of basic chemicals,,
C,,,2029p,Manufacture of other chemical products n.e.c.,,
C,1892,Explosive Manufacturing,2011p,Manufacture of basic chemicals,,
C,,,2012p,Manufacture of fertilizers and nitrogen compounds,,
C,,,2029p,Manufacture of other chemical products n.e.c.,,
C,1899,Other Basic Chemical Product Manufacturing n.e.c.,2011p,Manufacture of basic chemicals,,
C,,,2029p,Manufacture of other chemical products n.e.c.,,
C,Polymer Product and Rubber Product Manufacturing,,,,,
C,Polymer Product Manufacturing,,,,,
C,1911,Polymer Film and Sheet Packaging Material Manufacturing,2220p,Manufacture of plastics products,,
C,1912,Rigid and Semi-Rigid Polymer Product Manufacturing,2220p,Manufacture of plastics products,,
C,,,2733p,Manufacture of wiring devices,,
C,,,3100p,Manufacture of furniture,,
C,,,3290p,Other manufacturing n.e.c.,,
C,1913,Polymer Foam Product Manufacturing,2220p,Manufacture of plastics products,,
C,,,2733p,Manufacture of wiring devices,,
C,,,3290p,Other manufacturing n.e.c.,,
C,,,4330p,Building completion and finishing,,
C,1914,Tyre Manufacturing,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,,
C,1915,Adhesive Manufacturing,2029p,Manufacture of other chemical products n.e.c.,,
C,1916,Paint and Coatings Manufacturing,2011p,Manufacture of basic chemicals,,
C,,,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",,
C,,,2029p,Manufacture of other chemical products n.e.c.,,
C,1919,Other Polymer Product Manufacturing,1410p,"Manufacture of wearing apparel, except fur apparel",,
C,,,2219p,Manufacture of other rubber products,,
C,,,2220p,Manufacture of plastics products,,
C,,,2930p,Manufacture of parts and accessories for motor vehicles,,
C,,,3011p,Building of ships and floating structures,,
C,,,3290p,Other manufacturing n.e.c.,,
C,Natural Rubber Product Manufacturing,,,,,
C,1920,Natural Rubber Product Manufacturing,2219p,Manufacture of other rubber products,,
C,Non-Metallic Mineral Product Manufacturing,,,,,
C,Glass and Glass Product Manufacturing,,,,,
C,2010,Glass and Glass Product Manufacturing,2310p,Manufacture of glass and glass products,,
C,Ceramic Product Manufacturing,,,,,
C,2021,Clay Brick Manufacturing,2392p,Manufacture of clay building materials,,
C,2029,Other Ceramic Product Manufacturing,2391,Manufacture of refractory products,,
C,,,2392p,Manufacture of clay building materials,,
C,,,2393,Manufacture of other porcelain and ceramic products,,
C,"Cement, Lime, Plaster and Concrete Product Manufacturing",,,,,
C,2031,Cement and Lime Manufacturing,2394p,"Manufacture of cement, lime and plaster",,
C,2032,Plaster Product Manufacturing,2394p,"Manufacture of cement, lime and plaster",,
C,,,2395p,"Manufacture of articles of concrete, cement and plaster",,
C,2033,Ready-Mixed Concrete Manufacturing,2395p,"Manufacture of articles of concrete, cement and plaster",,
C,2034,Concrete Product Manufacturing,2395p,"Manufacture of articles of concrete, cement and plaster",,
C,Other Non-Metallic Mineral Product Manufacturing,,,,,
C,2090,Other Non-Metallic Mineral Product Manufacturing,1709p,Manufacture of other articles of paper and paperboard,,
C,,,2310p,Manufacture of glass and glass products,,
C,,,2395p,"Manufacture of articles of concrete, cement and plaster",,
C,,,2396,"Cutting, shaping and finishing of stone",,
C,,,2399p,Manufacture of other non-metallic mineral products n.e.c.,,
C,,,3290p,Other manufacturing n.e.c.,,
C,Primary Metal and Metal Product Manufacturing,,,,,
C,Basic Ferrous Metal Manufacturing,,,,,
C,2110,Iron Smelting and Steel Manufacturing,2410p,Manufacture of basic iron and steel,,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,Basic Ferrous Metal Product Manufacturing,,,,,
C,2121,Iron and Steel Casting,2410p,Manufacture of basic iron and steel,,
C,,,2431,Casting of iron and steel,,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,2122,Steel Pipe and Tube Manufacturing,2410p,Manufacture of basic iron and steel,,
C,Basic Non-Ferrous Metal Manufacturing,,,,,
C,2131,Alumina Production,2420p,Manufacture of basic precious and other non-ferrous metals,,
C,2132,Aluminium Smelting,2420p,Manufacture of basic precious and other non-ferrous metals,,
C,2133,"Copper, Silver, Lead and Zinc Smelting and Refining",2420p,Manufacture of basic precious and other non-ferrous metals,,
C,2139,Other Basic Non-Ferrous Metal Manufacturing,2420p,Manufacture of basic precious and other non-ferrous metals,,
C,Basic Non-Ferrous Metal Product Manufacturing,,,,,
C,2141,Non-Ferrous Metal Casting,2432,Casting of non-ferrous metals,,
C,2142,"Aluminium Rolling, Drawing, Extruding",2420p,Manufacture of basic precious and other non-ferrous metals,,
C,,,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,2149,Other Basic Non-Ferrous Metal Product Manufacturing,2420p,Manufacture of basic precious and other non-ferrous metals,,
C,,,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,Fabricated Metal Product Manufacturing,,,,,
C,Iron and Steel Forging,,,,,
C,2210,Iron and Steel Forging,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,Structural Metal Product Manufacturing,,,,,
C,2221,Structural Steel Fabricating,2511p,Manufacture of structural metal products,,
C,2222,Prefabricated Metal Building Manufacturing,2511p,Manufacture of structural metal products,,
C,2223,Architectural Aluminium Product Manufacturing,2511p,Manufacture of structural metal products,,
C,2224,Metal Roof and Guttering Manufacturing (except Aluminium),2511p,Manufacture of structural metal products,,
C,2229,Other Structural Metal Product Manufacturing,2511p,Manufacture of structural metal products,,
C,Metal Container Manufacturing,,,,,
C,2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",2512,"Manufacture of tanks, reservoirs and containers of metal",,
C,,,2513p,"Manufacture of steam generators, except central heating hot water boilers",,
C,2239,Other Metal Container Manufacturing,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,Sheet Metal Product Manufacturing (except Metal Structural and Container Products) ,,,,,
C,2240,Sheet Metal Product Manufacturing (except Metal Structural and Container Products),2511p,Manufacture of structural metal products,,
C,,,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,Other Fabricated Metal Product Manufacturing,,,,,
C,2291,Spring and Wire Product Manufacturing,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,,,3099p,Manufacture of other transport equipment n.e.c.,,
C,2292,"Nut, Bolt, Screw and Rivet Manufacturing",2599p,Manufacture of other fabricated metal products n.e.c.,,
C,2293,Metal Coating and Finishing,2592,Treatment and coating of metals; machining,,
C,2299,Other Fabricated Metal Product Manufacturing n.e.c.,2511p,Manufacture of structural metal products,,
